 ,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,"mean(d,e,v)",mood_final
Morning Shimmer,Morning Shimmer,Vochey,24PDuLZfLOKtAgh4axr36e,5/13/2020,49,218880,0.449,0.58,0.163,0.908,0.114,0.0501,-16.409,0.0361,125.088,11,4,Sad,0.2207,Lofi
Moulain (Revisited 432hz),Moulain (Revisited 432hz),Steven Vrancken,0zNqfg3MpUGku4T6h2Pmab,7/24/2020,30,143000,0.424,0.972,0.323,0.904,0.103,0.436,-27.586,0.0287,133.382,9,1,Sad,0.394333333,Chill
Movies,Movies,Weyes Blood,4ZYFWXoHCIdsdgUdOMK9fr,3/19/2019,30,353732,0.0903,0.646,0.362,0.402,0.106,0.0964,-8.929,0.0337,74.729,7,4,Sad,0.1829,Lofi
Mr. Blue Sky,Out of the Blue,Electric Light Orchestra,2RlgNHKcydI9sayD2Df2xp,1977,82,303373,0.388,0.652,0.338,3.72E-06,0.248,0.477,-10.054,0.0328,177.784,10,4,Sad,0.401,Chill
Mr. Jones,August And Everything After,Counting Crows,5DiXcVovI0FcY2s0icWWUu,1/1/1993,77,272293,0.578,0.183,0.817,3.06E-06,0.285,0.726,-6.542,0.0363,141.621,0,4,Happy,0.707,Hard Rock
Mudshovel,Dysfunction,Staind,6264zKFgXM13JuRBX4MMyD,4/13/1999,65,282093,0.328,0.000224,0.826,0.000944,0.0818,0.341,-5.085,0.0362,106.606,6,4,Happy,0.498333333,Chill
"Murder Song (5, 4, 3, 2, 1) - Acoustic",All My Demons Greeting Me As A Friend (Deluxe),AURORA,6MM22AtXB7I5gfTErMF0mJ,3/11/2016,55,218666,0.398,0.902,0.0887,1.76E-06,0.0873,0.356,-13.683,0.0334,74.797,9,4,Sad,0.2809,Lofi
My Favourite Game,Best Of,The Cardigans,4LpOPF5RXZhS1GLzclhyaT,1/25/2008,0,220413,0.594,0.000156,0.766,0.00345,0.086,0.453,-7.598,0.0327,143.482,5,4,Happy,0.604333333,Pop Chill
My Hero,Greatest Hits,Foo Fighters,7u5dBtASrtOuBTTZjJrvuJ,11/3/2009,60,258973,0.364,6.01E-05,0.925,0.000251,0.0603,0.301,-4.224,0.0659,153.981,4,4,Happy,0.53,Pop Chill
My Own Worst Enemy,A Place In The Sun,Lit,33iv3wnGMrrDugd7GBso1z,2/22/1999,72,169026,0.494,0.00129,0.946,0,0.398,0.741,-2.757,0.0637,103.408,4,4,Happy,0.727,Hard Rock
My Sharona,Get The Knack,The Knack,1HOMkjp0nHMaTnfAkslCQj,1/1/1979,74,295400,0.586,0.0589,0.7,0.00125,0.0318,0.897,-9.558,0.0363,147.245,0,4,Happy,0.727666667,Hard Rock
My Way - Marcus Santoro Remix,My Way (ft. Alice Berg) [Marcus Santoro Remix],Nicky Romero,29pQasEiyy3Otgq55dzyTt,3/19/2019,0,181147,0.563,0.0122,0.882,2.09E-06,0.0641,0.296,-4.755,0.0596,125.043,1,4,Happy,0.580333333,Pop Chill
Mykki,LoveLaws,TT,1Lq9ieTRd9TtXXBh5y63E6,5/18/2018,25,250373,0.665,0.336,0.56,0.0857,0.327,0.414,-7.301,0.0667,98.015,7,4,Happy,0.546333333,Pop Chill
Nazareth,Nazareth,Matteo Myderwyk,2cRD4yq8e8wd6PxS0zhuW3,10/17/2019,22,146125,0.378,0.995,0.0181,0.881,0.104,0.16,-31.001,0.0552,86.533,8,1,Sad,0.185366667,Lofi
Need You - Ed. & Gustav Munk Remix,Need You (Remixes),Faustix,4cLXtRF6cIFGcuid2OLyUU,9/20/2019,52,200880,0.656,0.00352,0.723,0,0.345,0.412,-7.693,0.0366,125.005,7,4,Happy,0.597,Pop Chill
Never Be Lonely (feat. Envy Monroe),Never Be Lonely (feat. Envy Monroe),Blasterjaxx,5vckEy9NZ6kirDU4UX4bVl,6/7/2019,56,192000,0.587,0.207,0.85,0,0.64,0.528,-3.904,0.0654,127.914,11,4,Happy,0.655,Hard Rock
Never Letting Go,Never Letting Go,Audien,5llPdGZJjJFJv9aL6ZaiLY,11/9/2018,58,172519,0.534,0.0915,0.765,0.00107,0.225,0.117,-3.151,0.0338,127.978,1,4,Happy,0.472,Chill
Never My Love,Voices In The Sky,Isobel Campbell,4zRkmGHVgGGnJMhemMXD6I,8/7/2020,37,206584,0.764,0.666,0.245,0.787,0.0967,0.356,-16.201,0.0383,101.968,8,4,Happy,0.455,Chill
Night,Night,Wilson Trouvé,7D04SRPxcqHXjoK0YFPuAq,4/24/2020,31,192941,0.428,0.995,0.00129,0.955,0.0913,0.13,-32.837,0.0753,67.645,0,5,Sad,0.18643,Lofi
Night Moves,Night Moves,Bob Seger,6UBjSnyP1O5W5ndJoO9vUk,10/22/1976,71,324422,0.705,0.432,0.743,0.0133,0.103,0.374,-6.631,0.042,118.552,1,4,Happy,0.607333333,Pop Chill
Night Surrender,Night Surrender,DeLange,0kox8HaEK0EfeWcNVTOKTy,7/17/2020,38,193653,0.211,0.993,0.00977,0.891,0.0996,0.13,-25.787,0.0396,175.397,1,4,Sad,0.116923333,Lofi
Night on Earth,Night on Earth,Jerkcurb,2OAOS8qkuKu5Kd8TvA5BAA,7/4/2016,38,340768,0.268,0.0656,0.494,2.61E-05,0.123,0.136,-7.219,0.0321,102.065,4,3,Sad,0.299333333,Lofi
No More 54,No More 54,Dada Life,7LgkgNtOYgWfSJsGgDXFop,3/22/2019,46,196273,0.541,0.000492,0.967,0.676,0.103,0.134,-5.682,0.0529,126.026,1,4,Happy,0.547333333,Pop Chill
No One Knows,Songs For The Deaf,Queens of the Stone Age,0melIwOKh1JH4RjI1Is10w,2002,36,278653,0.509,0.0329,0.583,0.000124,0.359,0.67,-4.902,0.0615,170.886,0,4,Happy,0.587333333,Pop Chill
No Time To Die,No Time To Die,Billie Eilish,73SpzrcaHk0RQPFP73vqVR,2/13/2020,82,242265,0.38,0.917,0.219,0.0104,0.0827,0.0517,-13.273,0.0358,73.537,4,4,Sad,0.2169,Lofi
No Woman,Light Upon the Lake,Whitney,1CLmFKW99S8eJrebO3GB04,6/3/2016,66,237973,0.581,0.893,0.4,0.576,0.161,0.433,-8.739,0.0291,112.331,2,4,Happy,0.471333333,Chill
Nobody,Nobody,Mac DeMarco,46SWSNRB3oAAOu21Apj22z,3/5/2019,50,212460,0.877,0.776,0.178,0.0193,0.107,0.442,-13.987,0.102,74.997,3,4,Happy,0.499,Chill
North,Solo (1*),Ton Snijders,3AtuVA6OJB7ZxBbMfA5qYx,8/7/2020,26,126480,0.522,0.994,0.0155,0.927,0.0949,0.119,-28.022,0.0441,91.764,10,4,Sad,0.218833333,Lofi
North Captiva,North Captiva,Lundegard,32dZxkZtsF5Vt3PrJQuV2i,6/12/2020,48,194495,0.479,0.918,0.346,0.929,0.111,0.23,-17.916,0.0306,143.965,9,4,Sad,0.351666667,Chill
Not Alone,Not Alone,Otto Knows,7tx0NDsCViutjOyd1c4A28,11/25/2016,44,215447,0.68,0.00538,0.721,0.000216,0.0679,0.267,-6.21,0.0355,122,7,4,Happy,0.556,Pop Chill
Nowhere Kids,Shapeshifter,Smile Empty Soul,08EI81e55Lcqg2ZelJOXcG,4/1/2016,36,248413,0.511,0.000106,0.914,0.00097,0.195,0.393,-5.31,0.0457,99.011,8,4,Happy,0.606,Pop Chill
Oceans,Oceans - EP,Seafret,7Cia4WzapwjMr0NUQF8vf3,1/21/2015,61,216186,0.404,0.274,0.48,8.63E-06,0.132,0.2,-8.906,0.0303,129.162,9,3,Sad,0.361333333,Chill
October Rain,Recollections Vol. 4,Various Artists,2jdeYpaoWR0VMIyKrgQMQE,3/27/2020,36,177077,0.187,0.992,0.014,0.923,0.0925,0.144,-29.31,0.0418,69.012,9,4,Sad,0.115,Lofi
Old Rain on a New Day,Celestial Siren,Cora Zea,5P8BZ67Vw2CUwAYi12yvYj,3/13/2020,54,225500,0.286,0.971,0.14,0.892,0.134,0.154,-16.496,0.0346,119.191,7,4,Sad,0.193333333,Lofi
Older Than I Am,Three. Two. One.,Lennon Stella,15VDHAMS4JCLziCjNkmQl1,4/24/2020,66,181533,0.44,0.891,0.306,0,0.103,0.201,-8.947,0.0363,117.288,9,4,Sad,0.315666667,Lofi
On Another Ocean (January / June),On Another Ocean (January / June) [Edit],Fleet Foxes,2fgMzSoDaPrU4EYsrkAwVn,9/29/2017,0,263373,0.284,0.155,0.523,0.0934,0.0933,0.0697,-6.512,0.0285,100.597,7,4,Sad,0.292233333,Lofi
On My Way (feat. Jordan Kaahn),On My Way (feat. Jordan Kaahn),Robbie Rivera,0kDTkI3VN3LEObv3v3ehhY,7/20/2018,48,218000,0.661,0.0188,0.93,0.00146,0.0919,0.367,-4.208,0.0617,122.052,7,4,Happy,0.652666667,Hard Rock
One More Night,One More Night,Labi Ramaj,0Ov2L3hgjc5TlxKuBpKOQK,2/20/2020,41,180972,0.62,0.00402,0.897,8.56E-05,0.108,0.183,-3.595,0.086,126.013,11,4,Happy,0.566666667,Pop Chill
One Night - D.O.D Remix,One Night (D.O.D Remix),Cedric Gervais,5Q0VxlFh80F3LmbGnuDE4M,5/4/2018,41,252500,0.681,0.00732,0.969,0.199,0.219,0.26,-1.394,0.0702,126.024,1,4,Happy,0.636666667,Pop Chill
One Step Closer,Hybrid Theory,Linkin Park,61fUybL3XS40gcffnnNPoX,10/24/2000,54,157333,0.492,0.0014,0.969,1.32E-06,0.0787,0.538,-4.419,0.0491,95.136,9,4,Happy,0.666333333,Hard Rock
Only,Only,RY X,0yfd3MSq6JEsNxOzSLJR7g,3/4/2016,0,268455,0.373,0.906,0.178,0.558,0.109,0.0933,-15.52,0.0303,108.605,7,4,Sad,0.214766667,Lofi
Only You,We Were Here,Joshua Radin,2ZaYFNn1YQuLSVdHhanr4Q,2006,55,149013,0.545,0.362,0.255,1.77E-05,0.0841,0.831,-14.844,0.0311,98.088,8,4,Happy,0.543666667,Pop Chill
Open Fields,Open Fields,Faelt,24CJS73HBvYtVguUZBnyAn,6/30/2020,39,183181,0.491,0.97,0.197,0.916,0.214,0.216,-19.261,0.0298,132.106,4,4,Sad,0.301333333,Lofi
Open Skies,Open Skies,Lost Horse Mine,5bATh5zpKb6uauocsl0XRM,4/28/2020,52,154863,0.56,0.00104,0.559,0.812,0.123,0.0869,-7.807,0.0274,133.044,0,4,Sad,0.401966667,Chill
Orbits,Orbits,Halfway Escape,6jFX2sHOzh7tpIIOomlrqJ,7/7/2020,33,204827,0.438,0.855,0.404,0.881,0.11,0.4,-13.924,0.039,116.142,6,4,Sad,0.414,Chill
Our Lady of Sorrows,"I Brought You My Bullets, You Brought Me Your Love",My Chemical Romance,46mPWQpvSFkXrr5nWoWW74,2002,50,125626,0.271,0.00099,0.931,0,0.182,0.382,-6.81,0.0785,142.407,1,4,Happy,0.528,Pop Chill
Out Of Control,The Reason,Hoobastank,2Uk3uky365BBGidUpOtKvw,1/1/2003,0,162106,0.443,0.00161,0.973,0,0.353,0.458,-4.386,0.133,157.872,4,4,Happy,0.624666667,Pop Chill
Out Of Control - Pat Vocal Mix,Out Of Control EP,Lupe Fuentes,6wCsrMyI3DavGvodBx8A7h,11/27/2017,43,193548,0.864,0.00875,0.742,0.394,0.41,0.689,-6.117,0.043,124.009,1,4,Happy,0.765,Hard Rock
Out of Control,Blind Spot,Lush,13i7d4s5EkgOIDHdzM0R4w,9/30/2017,0,262253,0.328,0.0041,0.799,6.29E-06,0.069,0.502,-5.992,0.0296,169.896,2,3,Happy,0.543,Pop Chill
Out of the Deep,Out Of The Deep,Olivia Belli,6HrPFcVFz9wTBqqIrpJ8iB,3/13/2020,45,193207,0.2,0.992,0.0212,0.903,0.0929,0.0631,-32.285,0.0499,74.852,0,1,Sad,0.094766667,Lofi
Outside,Outside,MorMor,7Cx3kiPstZOSKAqTe3LtEi,3/21/2019,51,238020,0.637,0.0925,0.613,0.425,0.156,0.598,-7.432,0.0272,127.006,1,4,Happy,0.616,Pop Chill
Over My Head (Better Off Dead),Does This Look Infected?,Sum 41,3SO0vfryYv381w1ImgWONG,1/1/2002,49,149306,0.44,0.00222,0.919,0.00503,0.0892,0.773,-4.462,0.0735,184.324,7,4,Happy,0.710666667,Hard Rock
Pain,A Deeper Understanding,The War On Drugs,59P1nrdEImkAKa1nyW9X2e,8/25/2017,60,330760,0.523,0.00387,0.833,0.000339,0.0841,0.482,-4.374,0.0405,115.975,7,4,Happy,0.612666667,Pop Chill
Panoramic Feelings (Piano Version),Panoramic Feelings (Piano Version),LudoWic,3hxqWxFfmbIYcrV0e7wSyL,10/25/2019,33,230284,0.25,0.991,0.00846,0.896,0.0853,0.0638,-24.348,0.0373,78.552,8,1,Sad,0.10742,Lofi
Papercut,Hybrid Theory (Bonus Edition),Linkin Park,1Vej0qeQ3ioKwpI6FUbRv1,10/24/2000,73,184866,0.524,0.00022,0.939,0,0.623,0.661,-3.994,0.113,150.184,9,4,Happy,0.708,Hard Rock
Paperthin Hymn,Never Take Friendship Personal,Anberlin,6VSmHLLvYAAkzrYFT3LloU,1/1/2005,53,197480,0.298,0.00111,0.597,0,0.0819,0.536,-12.107,0.0343,180.434,5,4,Happy,0.477,Chill
Parabel,Parabel,Matteo Myderwyk,4IrzpCIP60bro2wkBq5dIi,12/13/2019,22,133000,0.354,0.976,0.0214,0.903,0.0957,0.148,-32.492,0.0388,112.008,6,4,Sad,0.174466667,Lofi
Paradise,Mylo Xyloto,Coldplay,6nek1Nin9q48AVZcWs9e9D,10/24/2011,80,278719,0.449,0.0522,0.585,8.49E-05,0.0833,0.203,-6.762,0.0268,139.627,5,4,Sad,0.412333333,Chill
Paralyzer,Them vs. You vs. Me,Finger Eleven,6k1njNBYUIQgWJLG4ed26y,3/6/2007,0,208106,0.646,0.159,0.938,0,0.235,0.888,-3.453,0.0448,106.029,11,4,Happy,0.824,Hard Rock
Pass The Hours,Pass The Hours,MorMor,4EVpdoFt3L6sAa4hivmWz9,12/7/2018,54,223440,0.778,0.179,0.639,0.000934,0.322,0.543,-5.985,0.0292,119.977,6,4,Happy,0.653333333,Hard Rock
Path to Serenity,Path to Serenity,Arya Shae,6FI69Qkt6C2yBTVLC8zq34,3/28/2020,54,214277,0.134,0.961,0.0601,0.869,0.109,0.0388,-19.866,0.0352,73.855,7,1,Sad,0.077633333,Lofi
People Are Strange - Festival Mix,People Are Strange (Incl. Festival Mix),KAAZE,5b61rcrjF6JG7yq0RRaOLh,11/1/2019,51,195468,0.636,0.00222,0.912,0.0269,0.598,0.0765,-5.671,0.091,127.963,11,4,Happy,0.5415,Pop Chill
People Help the People,Birdy (Deluxe Version),Birdy,6XRNCAnxJIB1p4RPdFVSq0,11/4/2011,58,256236,0.407,0.778,0.308,1.46E-05,0.092,0.153,-9.001,0.0296,73.254,10,3,Sad,0.289333333,Lofi
Petrichor,Petrichor,Cecelya,22KKy6ftT0i4nyGNCbwc1B,1/29/2019,54,118321,0.319,0.937,0.122,0.905,0.167,0.214,-16.69,0.0373,70.263,4,4,Sad,0.218333333,Lofi
"Piano Sonata No. 14 In C Sharp Minor, Op. 27-2 1st Mvt: Adagio Sostenuto",Beethoven Piano Sonatas,Ludwig van Beethoven,4QNjuUkLHj47tEXgA6TFc3,1/1/2010,30,372173,0.274,0.995,0.00332,0.909,0.175,0.17,-41.45,0.0424,67.765,1,1,Sad,0.149106667,Lofi
Pierre,Virgule,Hicham Chahidi,1qlVrqeX158nz91Z72lzaa,2018,35,182000,0.356,0.989,0.0499,0.943,0.135,0.153,-24.949,0.0407,67.11,11,4,Sad,0.1863,Lofi
Pink Rupture,Pink Rupture,Kornum & Karma,3L47u91Y7YIGPpLPBrulh0,4/27/2018,51,348907,0.736,0.00178,0.356,0.704,0.0925,0.525,-8.676,0.0405,118.002,4,4,Happy,0.539,Pop Chill
Placidity,Placidity,Estado De Calma,1XtkmIXg2o5SqOrNI8Szvk,8/19/2019,50,165268,0.261,0.474,0.25,0.893,0.0882,0.0827,-18.526,0.0339,153.045,7,4,Sad,0.1979,Lofi
Planet,PLANET,Sofiane Pamart,1gIZhNdfbkGJ2iyOZJmW9O,11/22/2019,0,151400,0.549,0.988,0.0604,0.869,0.111,0.113,-23.059,0.0332,113.98,6,3,Sad,0.2408,Lofi
Play The Ghost,Play The Ghost,Sarah Davachi,0nL2bTth1UVQHWDDumMm3f,8/6/2020,31,301291,0.118,0.911,0.0567,0.879,0.106,0.0391,-19.274,0.0427,83.721,11,4,Sad,0.071266667,Lofi
Poem,Welcome,Taproot,7mQwxVogsnpR3h6AJLQLlR,9/30/2002,57,189200,0.364,0.000104,0.912,0.0025,0.086,0.666,-2.968,0.107,105.368,7,4,Happy,0.647333333,Pop Chill
Points of Authority,Hybrid Theory,Linkin Park,04mlpyRplis2yvf18EwaeN,10/24/2000,45,200240,0.512,0.03,0.97,0,0.0994,0.427,-3.886,0.212,94.952,8,4,Happy,0.636333333,Pop Chill
Polyamorous,Breaking Benjamin: Digital Box Set,Breaking Benjamin,1OvDGGu8KDbchlJTlM48Mr,1/1/2009,37,176946,0.544,0.000132,0.895,0.107,0.147,0.875,-6.207,0.0522,98.128,1,4,Happy,0.771333333,Hard Rock
Pour Les Oiseaux,Des Plumes Dans La Tête,Sylvain Chauveau,4NFa9tjhONF6lnu4SRbfG9,2/21/2010,0,76773,0.376,0.965,0.0879,0.944,0.099,0.308,-19.815,0.0423,70.433,0,4,Sad,0.2573,Lofi
Prayer Of The Refugee,Endgame / Appeal To Reason / Siren Song Of The Counter Culture / The Sufferer & The Witness,Rise Against,3wTyLh0vhP3dN5yv0Mti17,1/1/2012,0,199386,0.198,0.00131,0.977,4.62E-05,0.23,0.351,-3.499,0.173,195.795,3,4,Happy,0.508666667,Pop Chill
Prelude,Prelude,Marynka,1QmdL4qnNkm8FDuseRMf21,5/22/2020,30,223500,0.306,0.996,0.0846,0.901,0.0909,0.118,-27.607,0.0535,164.732,1,4,Sad,0.169533333,Lofi
Prelude 6 - Pt. 1,Voices,Max Richter,2R7BzSG2pPB99uJbU3lLmK,7/31/2020,55,161266,0.134,0.992,0.0407,0.794,0.117,0.043,-31.537,0.0426,217.95,10,4,Sad,0.072566667,Lofi
Prelude in F,Prelude in F,Alexander Motovilov,6CaQoqHFR0naK53v3jNGUT,8/7/2020,19,109000,0.461,0.968,0.272,0.946,0.113,0.533,-24.315,0.0363,122.731,8,3,Sad,0.422,Chill
Presence,Presence,Van Stiles,02QoKc20zzH9A8mf25NfPq,9/20/2019,49,125500,0.616,0.966,0.292,0.927,0.0955,0.0633,-16.837,0.0423,127.008,2,1,Sad,0.323766667,Lofi
Pressure,Pressure,Seth Hills,7f2d3p6nzGFR6874f0E7E7,12/20/2019,49,135585,0.708,0.00885,0.863,0.366,0.285,0.437,-4.001,0.0606,127.981,9,4,Happy,0.669333333,Hard Rock
Promise,Horrorscope,Eve 6,5mqEL5pgnDCcWtTWpAofIV,2000,48,176506,0.62,0.00791,0.85,0,0.0769,0.715,-4.096,0.0327,107.982,9,4,Happy,0.728333333,Hard Rock
Pumped Up Kicks,Torches,Foster The People,7w87IxuO7BDcJ3YUqCyMTT,5/23/2011,84,239600,0.733,0.145,0.71,0.115,0.0956,0.965,-5.849,0.0292,127.975,5,4,Happy,0.802666667,Hard Rock
Quick Canal (W/ Laetita Sadier),Logos,Atlas Sound,2mJhNvt2dDCfcNn8IZg6sF,10/19/2009,42,518373,0.299,0.169,0.541,0.795,0.132,0.191,-10.641,0.0513,142.724,7,4,Sad,0.343666667,Lofi
Quiet Room,Music For Mindfulness,Various Artists,5uTfZTuLLGbq1qFYwzg7jX,10/20/2017,0,156413,0.374,0.995,0.068,0.934,0.119,0.241,-21.842,0.0517,66.01,11,4,Sad,0.227666667,Lofi
"Quiet, The Winter Harbor",Still EP,Mazzy Star,1OArWxrw689jZXaJzSErbh,6/1/2018,37,255358,0.321,0.973,0.0792,0.104,0.0888,0.106,-17.737,0.0329,145.293,5,3,Sad,0.168733333,Lofi
Raven's Feather - Piano Solo,Raven's Feather (Piano Solo),Nina June,7sBlA4bK7gpf2H42K6Y0H3,12/20/2019,34,256259,0.594,0.988,0.0624,0.928,0.109,0.0738,-19.409,0.0472,123.999,10,4,Sad,0.2434,Lofi
Rayons de soleil,Rayons de soleil,Marlies du Mosch,13SBuUaDElB4vowkW6nQxk,8/7/2020,18,245200,0.315,0.987,0.102,0.954,0.104,0.169,-22.435,0.0423,63.679,11,5,Sad,0.195333333,Lofi
Reality,Reality EP,Chocolate Puma,3sqyZAk7dUY3U4ApoJcRzJ,10/22/2018,42,213750,0.651,0.000934,0.836,0.932,0.112,0.0741,-6.154,0.0588,127.986,6,4,Happy,0.520366667,Pop Chill
Rebuscano,Rebuscano,Olivia Belli,55VX26X342cWBM7akigws7,6/26/2020,37,173319,0.416,0.99,0.0322,0.929,0.101,0.0614,-29.145,0.0451,120.321,2,4,Sad,0.169866667,Lofi
Recording 15,Living Water,Shannon Lay,1vNfYCzcCJz0FY7MVVA9lM,9/22/2017,60,242000,0.552,0.956,0.126,0.0153,0.109,0.439,-18.014,0.0306,92.441,11,4,Sad,0.372333333,Chill
Reinventing Your Exit,They're Only Chasing Safety,Underoath,591vJuuep0gfPhx9p8WPD5,1/1/2004,57,262573,0.45,0.000124,0.978,7.14E-06,0.361,0.268,-4.198,0.0637,155.014,9,4,Happy,0.565333333,Pop Chill
Remains,Remains,Dries Beheydt,288oxP29Qe5FikFIc1b1Gd,4/25/2020,32,228622,0.157,0.991,0.0755,0.897,0.184,0.119,-23.545,0.051,71.23,7,4,Sad,0.117166667,Lofi
Renee's Song,Renee's Song,Bazzi,13iMiwdY7pgE1f7NwYKr1D,4/1/2020,73,130545,0.593,0.794,0.229,0,0.167,0.42,-8.888,0.0307,117.823,9,4,Sad,0.414,Chill
Renegades Of Funk,Renegades,Rage Against The Machine,5YBVDvTSSSiqv7KZDeUlXA,12/5/2000,66,274160,0.651,0.00184,0.908,0.000579,0.384,0.769,-4.019,0.0577,123.851,2,4,Happy,0.776,Hard Rock
Rescue Me,Rescue Me,DubVision,7DP18u679fMurjsUxuxMHu,6/14/2019,57,187382,0.494,0.069,0.739,0.000368,0.0664,0.235,-4.61,0.0427,128.007,6,4,Happy,0.489333333,Chill
Retrospectacular,Retrospectacular,Domaine Blanc,58Z8R4KZPbfTc6KVYZLwTb,6/1/2020,50,200000,0.368,0.81,0.293,0.864,0.11,0.197,-16.379,0.0346,119.977,9,4,Sad,0.286,Lofi
Revitalize,Unification,Yonder Dale,1sPC2IR2UwzYUrItFRE1H3,5/22/2020,34,198545,0.597,0.95,0.327,0.96,0.0966,0.0399,-15.743,0.0342,109.99,9,4,Sad,0.3213,Lofi
Ring The Alarm - Stadiumx Remix,Ring The Alarm (Remixes),Nicky Romero,3LmiKN6q3OwFD3sV8rhkk2,4/19/2019,45,173333,0.625,0.00032,0.994,0.0461,0.767,0.35,-1.689,0.0501,125.032,1,4,Happy,0.656333333,Hard Rock
Rise (ft. Matluck) - Thomas Gold Remix,Rise (ft. Matluck) [Thomas Gold Remix],Nicky Romero,24fghf9YPlSHoWKNHign8p,10/10/2018,0,225937,0.501,0.0071,0.784,0.000257,0.155,0.216,-4.292,0.0417,128.052,7,4,Happy,0.500333333,Pop Chill
River,Bones,St Woods,2mXnsGgq0K4qfcYmw0rccK,5/8/2020,42,276960,0.304,0.73,0.317,0.00519,0.118,0.0596,-10.52,0.0285,147.83,11,4,Sad,0.226866667,Lofi
Riverside,Philharmonics,Agnes Obel,1UmFRZU3taMGZApPhK32mc,10/4/2010,3,228546,0.648,0.985,0.177,0.000353,0.134,0.236,-13.474,0.0311,99.101,9,3,Sad,0.353666667,Chill
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Honky Chateau,Elton John,3gdewACMIVMEWVbyb8O9sY,5/19/1972,82,281613,0.601,0.432,0.532,6.25E-06,0.0925,0.341,-9.119,0.0286,136.571,10,4,Happy,0.491333333,Chill
Romance,Ex:Re,Ex:Re,7Ky78y9gxAKlujRin3vzZf,11/30/2018,0,403469,0.716,0.884,0.644,0.617,0.138,0.464,-12.444,0.0718,121.053,9,4,Happy,0.608,Pop Chill
Roses,Speakerboxxx/The Love Below,OutKast,6bUNEbXT7HovLW6BgPCBsb,2003,72,369573,0.751,0.0481,0.708,1.83E-05,0.107,0.509,-5.645,0.0545,108.97,0,4,Happy,0.656,Hard Rock
Rusted From the Rain,Billy Talent III,Billy Talent,0tzWCL2uhb2xQDWgG259nU,9/22/2009,47,254613,0.431,0.000481,0.858,7.65E-06,0.385,0.616,-3.533,0.0306,174.979,7,4,Happy,0.635,Pop Chill
Rylan,I Am Easy to Find,The National,18IyalmZGqUTwvZStMf7A1,5/17/2019,56,223853,0.609,0.403,0.789,0.0811,0.0446,0.717,-5.565,0.0468,144.047,11,4,Happy,0.705,Hard Rock
Sad Corny Fuck,Hold It Together,JP Saxe,5YlHgqWo3Kt2mF88ubmR62,2/7/2020,55,220520,0.604,0.835,0.179,0,0.162,0.391,-15.383,0.0339,124.982,2,3,Sad,0.391333333,Chill
Sadness,Red Moon,Marynka,2aoxz8c3bHyDrZBhTKnTXh,6/26/2020,33,453804,0.35,0.991,0.0706,0.931,0.1,0.0877,-24.271,0.0441,102.507,5,4,Sad,0.169433333,Lofi
Sahara Love - Seven Lions Remix,Sahara Love,Above & Beyond,6KjTXwntv8paBCL3El9TnV,3/8/2019,52,322892,0.275,0.0418,0.659,4.15E-05,0.079,0.149,-5.631,0.039,144.908,6,4,Sad,0.361,Chill
Same Direction,The Reason,Hoobastank,7p5HBV5kqLgw0vK0lQ7eXM,1/1/2003,0,195293,0.401,0.00492,0.988,0,0.4,0.514,-3.308,0.0916,169.024,2,4,Happy,0.634333333,Pop Chill
Samson,Begin to Hope (Special Edition),Regina Spektor,2bbhyUWJ5VjdfI3P4PRLu2,6/13/2006,51,189335,0.49,0.862,0.193,9.74E-06,0.113,0.184,-9.544,0.0421,89.154,11,4,Sad,0.289,Lofi
Saving Daylight,Saving Daylight,Harvest Silence,0rDXZpaDpGMbT8ON1DxEtT,5/1/2020,52,206820,0.526,0.456,0.385,0.922,0.0935,0.212,-13.755,0.0296,120.008,0,4,Sad,0.374333333,Chill
Savior,Appeal To Reason,Rise Against,3asFGFY3uLjMDmML1p0tYm,1/1/2008,70,242280,0.339,0.0015,0.931,0.000142,0.425,0.467,-3.425,0.062,112.548,5,4,Happy,0.579,Pop Chill
Say Days Ago,The Used,The Used,0fcGdkaMVaJtPuYLB6bXRx,6/25/2002,40,197866,0.362,0.00022,0.979,0,0.459,0.195,-4.262,0.205,89.431,4,4,Happy,0.512,Pop Chill
Schloss,Schloss,Elmau Dunkel,07EmFV0AOKNsbtNonzmMJj,5/24/2019,51,222093,0.438,0.968,0.073,0.755,0.0935,0.0668,-21.944,0.0411,79.973,1,4,Sad,0.1926,Lofi
Secrets,Secrets,Erik Frank,3PGYOWmCia5R4iLRnGHwyf,9/28/2018,57,215714,0.743,0.762,0.748,6.25E-05,0.0939,0.476,-4.822,0.0519,126.086,0,4,Happy,0.655666667,Hard Rock
Send It,Send It,Steve Aoki,2GXOmuU3kApsq2TWqOU5Bm,10/4/2019,60,182671,0.646,0.0199,0.979,0.776,0.38,0.091,-5.312,0.101,124.066,4,4,Happy,0.572,Pop Chill
Send Me on My Way,Music From Party of Five,Various Artists,6hs3SDnbO3f6VQuPO4KBEb,11/12/1996,73,263333,0.5,0.114,0.681,4.01E-05,0.139,0.745,-9.556,0.0672,119.46,0,4,Happy,0.642,Pop Chill
Seven Nation Army,Elephant,The White Stripes,3m6KkYKdnbffMpGd9Pm9FP,4/1/2003,7,231920,0.745,0.00666,0.466,0.35,0.272,0.303,-7.62,0.0864,123.889,4,4,Happy,0.504666667,Pop Chill
